Game ID,Player Type,Team,Name,Position,Stat - Hits,Stat - ERA,Stat - AVG,Stat - OBP
777580,Batter,home,Steven Kwan,LF,0,,,
777580,Batter,away,TJ Friedl,CF,2,,,
777580,Batter,home,Lane Thomas,CF,1,,,
777580,Batter,away,Gavin Lux,DH,2,,,
777580,Batter,home,José Ramírez,3B,1,,,
777580,Batter,away,Elly De La Cruz,SS,2,,,
777574,Batter,home,Oneil Cruz,CF,1,,,
777574,Batter,away,Xavier Edwards,2B,1,,,
777574,Batter,home,Andrew McCutchen,DH,3,,,
777574,Batter,away,Jesús Sánchez,RF,0,,,
777574,Batter,home,Bryan Reynolds,RF,2,,,
777574,Batter,away,Agustín Ramírez,C,0,,,
777578,Batter,home,Trea Turner,SS,1,,,
777578,Batter,away,Ian Happ,LF,1,,,
777578,Batter,home,Kyle Schwarber,DH,0,,,
777578,Batter,away,Kyle Tucker,RF,1,,,
777578,Batter,home,Alec Bohm,1B,2,,,
777578,Batter,away,Seiya Suzuki,DH,1,,,
777584,Batter,home,Jarren Duran,LF,1,,,
777584,Batter,away,Josh Lowe,RF,1,,,
777584,Batter,home,Rafael Devers,DH,0,,,
777584,Batter,away,Brandon Lowe,2B,1,,,
777584,Batter,away,Curtis Mead,PH,0,,,
777584,Batter,away,José Caballero,2B,0,,,
777575,Batter,home,Jackson Chourio,CF,1,,,
777575,Batter,away,Ronald Acuña Jr.,RF,1,,,
777575,Batter,home,William Contreras,C,1,,,
777575,Batter,away,Drake Baldwin,C,0,,,
777575,Batter,home,Christian Yelich,DH,1,,,
777575,Batter,away,Austin Riley,3B,3,,,
777581,Batter,home,Lars Nootbaar,LF,0,,,
777581,Batter,away,Bo Bichette,DH,1,,,
777581,Batter,home,Masyn Winn,SS,1,,,
777581,Batter,away,Vladimir Guerrero Jr.,1B,2,,,
777581,Batter,home,Brendan Donovan,2B,1,,,
777581,Batter,away,Addison Barger,3B,1,,,
777576,Batter,home,Zach Neto,SS,1,,,
777576,Batter,away,Lawrence Butler,RF,0,,,
777576,Batter,home,Nolan Schanuel,1B,1,,,
777576,Batter,away,Jacob Wilson,SS,0,,,
777576,Batter,home,Mike Trout,DH,1,,,
777576,Batter,away,Brent Rooker,LF,0,,,
777579,Batter,home,Fernando Tatis Jr.,RF,1,,,
777579,Batter,away,Shohei Ohtani,DH,1,,,
777579,Batter,home,Luis Arraez,1B,1,,,
777579,Batter,away,Mookie Betts,SS,1,,,
777579,Batter,home,Manny Machado,3B,1,,,
777579,Batter,away,Freddie Freeman,1B,2,,,
777577,Batter,home,Corbin Carroll,RF,1,,,
777577,Batter,away,J.P. Crawford,SS,1,,,
777577,Batter,home,Ketel Marte,2B,0,,,
777577,Batter,away,Julio Rodríguez,CF,0,,,
777577,Batter,home,Geraldo Perdomo,SS,1,,,
777577,Batter,away,Cal Raleigh,C,0,,,
