Team,wOBA_7d,wOBA_14d,wRCP1st
Ath,,0.4321428571428571,
Atl,0.4261363636363636,0.4261363636363636,
Az,0.4782051282051281,0.4782051282051281,
Bal,,0.3336538461538462,
Bos,,0.2477272727272727,
Chc,0.365625,0.365625,
Cin,,0.340625,
Cle,0.3486486486486486,0.3486486486486486,
Col,0.4231707317073171,0.4231707317073171,
Cws,,0.2765957446808511,
Det,,0.363953488372093,
Hou,,0.4612244897959184,
Kc,,0.295,
Laa,,0.4327272727272727,
Lad,0.267741935483871,0.267741935483871,
Mia,0.3852941176470588,0.3852941176470588,
Mil,,0.2189189189189189,
Min,,0.264,
Nym,0.275,0.275,
Nyy,,0.292,
Phi,0.4075757575757575,0.4075757575757575,
Pit,0.4371428571428571,0.4371428571428571,
Sd,,0.2276595744680851,
Sea,0.1666666666666666,0.1666666666666666,
Sf,,0.1075757575757575,
Stl,,0.4145454545454545,
Tb,0.3878378378378378,0.3878378378378378,
Tex,0.146551724137931,0.146551724137931,
Tor,0.3155172413793103,0.3155172413793103,
Wsh,0.3810810810810811,0.3810810810810811,
