Team,wOBA_7d,wOBA_14d
Ath,,0.4321428571428571
Atl,0.42613636363636365,0.42613636363636365
Az,0.47820512820512817,0.47820512820512817
Bal,,0.3336538461538462
Bos,,0.24772727272727274
Chc,0.365625,0.365625
Cin,,0.340625
Cle,0.34864864864864864,0.34864864864864864
Col,0.4231707317073171,0.4231707317073171
Cws,,0.2765957446808511
Det,,0.363953488372093
Hou,,0.4612244897959184
Kc,,0.29500000000000004
Laa,,0.43272727272727274
Lad,0.267741935483871,0.267741935483871
Mia,0.3852941176470588,0.3852941176470588
Mil,,0.2189189189189189
Min,,0.264
Nym,0.275,0.275
Nyy,,0.292
Phi,0.40757575757575754,0.40757575757575754
Pit,0.43714285714285717,0.43714285714285717
Sd,,0.2276595744680851
Sea,0.16666666666666666,0.16666666666666666
Sf,,0.10757575757575757
Stl,,0.41454545454545455
Tb,0.3878378378378378,0.3878378378378378
Tex,0.14655172413793102,0.14655172413793102
Tor,0.31551724137931036,0.31551724137931036
Wsh,0.3810810810810811,0.3810810810810811
