Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2025,"Charlie Morton","BAL",12.1,56,11.67567568,7.2972973,1.6,0.72972973,0.28571429,0.17857143,0.10714286,0.244444444,1.7027027,0.35714286,0.72815534,4.221661243230015,4.474967630945254,4676
2025,"Justin Verlander","SFG",13,51,6.92307692,4.15384615,1.66666667,0.69230769,0.19607843,0.11764706,0.07843137,0.181818181,1.07692308,0.20588235,0.87301587,3.9326799539419324,4.96228847182714,8700
2025,"Nathan Eovaldi","TEX",13,50,8.30769231,2.07692308,4,0.69230769,0.24,0.06,0.18,0.212765957,1,0.26470588,0.86206897,2.9326799539419324,2.834728184113136,9132
2025,"Patrick Corbin","TEX",14,51,8.35714286,3.21428571,2.6,0.64285714,0.25490196,0.09803922,0.15686275,0.130434782,0.78571429,0.15625,0.9375,3.229383250645229,3.7666401961020064,9323
2025,"Miles Mikolas","STL",16,75,7.3125,2.25,3.25,2.25,0.17333333,0.05333333,0.12,0.338028169,1.75,0.37037037,0.80357143,5.461526107788086,5.051568582467735,9803
2025,"Zack Wheeler","PHI",16,57,9.5625,2.25,4.25,0.5625,0.29824561,0.07017544,0.22807018,0.132075471,0.6875,0.17142857,0.9375,2.524026107788086,2.627668841555715,10310
2025,"Chris Sale","ATL",15,70,12.6,3,4.2,0.6,0.3,0.07142857,0.22857143,0.3125,1.66666667,0.45238095,0.81300813,2.3531927744547527,2.952354481816292,10603
2025,"Jacob deGrom","TEX",16,59,8.4375,1.125,7.5,2.25,0.25423729,0.03389831,0.22033898,0.175438596,0.75,0.15789474,1,4.836526107788086,3.143968755193055,10954
2025,"Merrill Kelly","ARI",17,78,9.52941176,4.23529412,2.25,1.58823529,0.23076923,0.1025641,0.12820513,0.275362318,1.58823529,0.33333333,0.58823529,4.851231990141027,3.8504923201659147,11156
2025,"Jose Quintana","MIL",11,49,8.18181818,9,0.90909091,0,0.20408163,0.2244898,-0.02040816,0.210526315,1.72727273,0.28571429,0.84210526,4.268344289606268,5.467658413811163,11423
