Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2025,"Charlie Morton","BAL",13,56,5.10810811,11,1,0,7,7,1,10,0,1,16,0.244444444,0.392857142,0.333333333,0.3389522890959467,4676
2025,"Justin Verlander","SFG",13,51,2.07692308,8,4,0,3,3,1,6,0,0,10,0.181818181,0.274509803,0.34090909,0.2733802409733043,8700
2025,"Nathan Eovaldi","TEX",13,50,2.07692308,10,1,0,3,3,1,3,0,0,12,0.212765957,0.26,0.29787234,0.2502157783508301,9132
2025,"Patrick Corbin","TEX",14,51,1.28571429,6,1,0,2,2,1,5,0,0,13,0.130434782,0.215686274,0.217391304,0.2028967445971919,9323
2025,"Miles Mikolas","STL",16,75,5.0625,24,2,1,10,9,4,4,0,0,13,0.338028169,0.373333333,0.563380281,0.4033377814292908,9803
2025,"Zack Wheeler","PHI",16,57,1.125,7,1,0,2,2,1,4,0,0,17,0.132075471,0.192982456,0.207547169,0.18493905297496863,10310
2025,"Chris Sale","ATL",15,70,3,20,1,0,6,5,1,5,0,1,21,0.3125,0.371428571,0.375,0.3357318588665554,10603
2025,"Jacob deGrom","TEX",16,59,2.8125,10,0,0,5,5,4,2,0,0,15,0.175438596,0.20338983,0.385964912,0.25375141733783785,10954
2025,"Merrill Kelly","ARI",17,78,6.35294118,19,3,0,14,12,3,8,0,1,18,0.275362318,0.358974358,0.449275362,0.35639145970344543,11156
2025,"Jose Quintana","MIL",11,49,2.45454545,8,0,0,3,3,0,11,0,0,10,0.210526315,0.387755102,0.210526315,0.3007196042002464,11423
2025,"Robbie Ray","SFG",17,72,3.17647059,15,4,0,7,6,0,8,0,0,21,0.238095238,0.319444444,0.301587301,0.2828875540031327,11486
2025,"Jameson Taillon","CHC",17,63,1.05882353,12,1,0,2,2,1,1,0,0,21,0.193548387,0.206349206,0.258064516,0.2047360794884818,11674
2025,"Kyle Hendricks","LAA",16,69,4.5,15,2,0,8,8,3,6,1,1,12,0.245901639,0.318840579,0.426229508,0.32045118598377004,12049
2025,"Chris Bassitt","TOR",17,78,6.35294118,23,3,0,12,12,4,1,0,1,22,0.306666666,0.32051282,0.506666666,0.3547230133643517,12304
2025,"Colin Rea","CHC",13,59,6.23076923,18,2,0,9,9,4,5,0,1,12,0.339622641,0.406779661,0.603773584,0.43441373008792683,12317
2025,"Seth Lugo","KCR",15,54,1.8,7,0,0,3,3,2,3,0,1,14,0.14,0.203703703,0.26,0.21063378894770587,12447
2025,"Nick Martinez","CIN",16,63,2.25,10,3,0,5,4,2,5,0,2,12,0.178571428,0.269841269,0.339285714,0.2742184428941636,12730
2025,"Sonny Gray","STL",16,62,5.0625,14,3,0,9,9,3,2,0,0,20,0.233333333,0.258064516,0.433333333,0.29791929452650007,12768
2025,"Tyler Anderson","LAA",16,76,8.4375,22,5,1,15,15,5,6,0,0,15,0.318840579,0.368421052,0.637681159,0.42321732561839254,12880
2025,"Eduardo Rodriguez","ARI",14,61,5.14285714,16,4,1,9,8,2,4,0,0,19,0.285714285,0.327868852,0.5,0.3532060101384022,13164
2025,"Clay Holmes","NYM",16,67,1.6875,11,1,0,3,3,0,10,0,0,14,0.192982456,0.313432835,0.210526315,0.25491947558388783,13649
2025,"Max Fried","NYY",17,70,2.11764706,11,0,1,5,4,1,5,0,3,11,0.177419354,0.271428571,0.258064516,0.24713692579950605,13743
2025,"Zach Eflin","BAL",12,54,8.25,18,5,0,11,11,6,1,0,0,12,0.339622641,0.351851851,0.773584905,0.4742171620881116,13774
2025,"Michael Wacha","KCR",16,60,0,12,2,0,0,0,0,2,0,0,12,0.210526315,0.237288135,0.245614035,0.21679448475271967,14078
2025,"Kevin Gausman","TOR",16,61,3.375,10,3,0,7,6,3,6,0,0,15,0.185185185,0.262295081,0.407407407,0.2900955422979886,14107
2025,"Jose Berrios","TOR",17,70,4.23529412,16,5,0,8,8,2,6,0,0,20,0.25,0.314285714,0.421875,0.32279828871999466,14168
2025,"Michael Lorenzen","KCR",16,63,1.6875,12,4,0,3,3,1,4,0,0,15,0.206896551,0.253968253,0.327586206,0.25564201956703553,14843
2025,"German Marquez","COL",17,80,8.64,22,5,0,18,16,3,6,0,2,12,0.314285714,0.375,0.514285714,0.3818652033805847,15038
2025,"Andrew Heaney","PIT",16,64,2.8125,14,5,0,5,5,2,2,0,0,16,0.229508196,0.25,0.409836065,0.2819474348798394,15423
2025,"Matthew Boyd","CHC",16,65,3.9375,14,4,0,7,7,3,4,0,0,19,0.229508196,0.276923076,0.44262295,0.31129175974772527,15440
2025,"Nick Pivetta","SDP",16,69,3.375,15,6,0,7,6,3,5,0,1,19,0.241935483,0.304347826,0.483870967,0.3375508128732875,15454
2025,"Lucas Giolito","BOS",11,48,7.36363636,12,2,0,9,9,3,6,0,0,12,0.285714285,0.375,0.547619047,0.3978378660976887,15474
2025,"Antonio Senzatela","COL",16,82,10.125,32,3,1,19,18,2,5,0,0,11,0.426666666,0.451219512,0.573333333,0.43985604222227886,15488
2025,"Luis Castillo","SEA",17,72,1.05882353,14,4,0,2,2,0,8,0,1,15,0.222222222,0.319444444,0.285714285,0.28063011997275883,15689
2025,"Zack Littell","TBR",17,65,2.64705882,12,1,0,5,5,4,3,0,1,16,0.196721311,0.246153846,0.409836065,0.2852466060565068,15823
2025,"Luis Severino","ATH",18,74,4.5,14,3,0,10,9,3,7,0,0,11,0.212121212,0.283783783,0.393939393,0.2964961238809534,15890
2025,"Carlos Rodon","NYY",17,67,1.58823529,13,3,0,5,3,2,3,0,0,20,0.203125,0.23880597,0.34375,0.25523404576885167,16137
2025,"Kyle Freeland","COL",15,71,8.4,25,4,0,15,14,5,5,0,0,15,0.378787878,0.422535211,0.666666666,0.4654372359665347,16256
2025,"Tyler Mahle","TEX",14,56,1.28571429,11,2,0,2,2,0,7,0,0,9,0.224489795,0.321428571,0.265306122,0.27451528715235846,16358
2025,"Grant Holmes","ATL",16,62,2.25,9,1,0,4,4,2,7,0,0,22,0.163636363,0.258064516,0.29090909,0.2512153252478569,16944
2025,"Trevor Williams","WSN",16,63,3.375,11,1,1,6,6,3,5,0,0,15,0.192982456,0.253968253,0.403508771,0.2833668561208816,16977
2025,"Pablo Lopez","MIN",11,49,3.27272727,13,3,0,4,4,0,3,0,1,10,0.295454545,0.346938775,0.363636363,0.31577214172908236,17085
2025,"Ranger Suarez","PHI",11,41,0.81818182,6,0,1,1,1,0,2,0,1,12,0.157894736,0.219512195,0.210526315,0.19883302508330927,17277
2025,"Framber Valdez","HOU",17,70,3.17647059,11,4,0,6,6,2,8,0,1,17,0.186440677,0.289855072,0.355932203,0.28833635734475177,17295
2025,"Erick Fedde","STL",16,75,6.75,17,6,0,13,12,4,10,0,0,11,0.261538461,0.36,0.538461538,0.3865002242724101,17425
2025,"Jack Flaherty","DET",16,63,3.375,12,4,0,6,6,3,4,0,1,22,0.206896551,0.269841269,0.431034482,0.3045030747141157,17479
2025,"Mitch Keller","PIT",17,70,3.17647059,14,6,0,7,6,1,6,0,0,15,0.21875,0.285714285,0.359375,0.2859852509839194,17594
2025,"Jeffrey Springs","ATH",15,75,8.4,17,6,0,18,14,5,12,0,0,14,0.269841269,0.386666666,0.603174603,0.42069235642751057,17677
2025,"Logan Webb","SFG",17,73,3.70588235,18,3,0,7,7,0,4,0,0,26,0.260869565,0.301369863,0.304347826,0.2723322641359617,17995
2025,"Michael Soroka","WSN",11,38,2.45454545,4,0,0,3,3,1,2,0,0,10,0.111111111,0.157894736,0.194444444,0.1609303057193756,18383
2025,"Dylan Cease","SDP",17,72,5.29411765,17,5,0,11,10,2,5,0,0,24,0.253731343,0.305555555,0.417910447,0.3165232257710563,18525
