game_id,game_datetime,away_team,away_abbrev,home_team,home_abbrev,away_pitcher,home_pitcher,away_batters,home_batters,away_rfi_grade,home_rfi_grade,nrfi_grade
777341,2025-06-27T22:40:00Z,New York Mets,NYM,Pittsburgh Pirates,PIT,David Peterson,Mitch Keller,,,,,
777343,2025-06-27T23:05:00Z,Tampa Bay Rays,TB,Baltimore Orioles,BAL,Ryan Pepiot,Tomoyuki Sugano,,,,,
777337,2025-06-27T23:05:00Z,Athletics,ATH,New York Yankees,NYY,Mitch Spence,Will Warren,,,,,
777346,2025-06-27T23:10:00Z,San Diego Padres,SD,Cincinnati Reds,CIN,Dylan Cease,Nick Martinez,,,,,
777349,2025-06-27T23:10:00Z,St. Louis Cardinals,STL,Cleveland Guardians,CLE,Sonny Gray,Luis L. Ortiz,,,,,
777345,2025-06-27T23:10:00Z,Toronto Blue Jays,TOR,Boston Red Sox,BOS,José Berríos,Brayan Bello,,,,,
777334,2025-06-27T23:10:00Z,Minnesota Twins,MIN,Detroit Tigers,DET,David Festa,Sawyer Gipson-Long,,,,,
777342,2025-06-27T23:15:00Z,Philadelphia Phillies,PHI,Atlanta Braves,ATL,Mick Abel,Bryce Elder,,,,,
777338,2025-06-27T23:40:00Z,San Francisco Giants,SF,Chicago White Sox,CWS,Landen Roupp,Aaron Civale,,,,,
777340,2025-06-28T00:05:00Z,Seattle Mariners,SEA,Texas Rangers,TEX,Logan Gilbert,Nathan Eovaldi,,,,,
777336,2025-06-28T00:10:00Z,Chicago Cubs,CHC,Houston Astros,HOU,Cade Horton,Brandon Walter,,,,,
777335,2025-06-28T00:10:00Z,Los Angeles Dodgers,LAD,Kansas City Royals,KC,Dustin May,Noah Cameron,,,,,
777339,2025-06-28T00:10:00Z,Colorado Rockies,COL,Milwaukee Brewers,MIL,Kyle Freeland,Jose Quintana,,,,,
777331,2025-06-28T01:38:00Z,Washington Nationals,WSH,Los Angeles Angels,LAA,Jake Irvin,José Soriano,,,,,
777332,2025-06-28T01:40:00Z,Miami Marlins,MIA,Arizona Diamondbacks,AZ,Eury Pérez,Merrill Kelly,,,,,
