game_id,game_datetime,away_team,away_abbrev,home_team,home_abbrev,away_pitcher,home_pitcher,nrfi_grade
777309,2025-06-29T16:05:00Z,St. Louis Cardinals,STL,Cleveland Guardians,CLE,Matthew Liberatore,Logan Allen,
777313,2025-06-29T17:35:00Z,New York Mets,NYM,Pittsburgh Pirates,PIT,Frankie Montas,Mike Burrows,
777317,2025-06-29T17:35:00Z,Tampa Bay Rays,TB,Baltimore Orioles,BAL,Taj Bradley,Dean Kremer,
777310,2025-06-29T17:35:00Z,Toronto Blue Jays,TOR,Boston Red Sox,BOS,Eric Lauer,Walker Buehler,
777316,2025-06-29T17:35:00Z,Philadelphia Phillies,PHI,Atlanta Braves,ATL,Ranger Suárez,Spencer Strider,
777307,2025-06-29T17:35:00Z,Athletics,ATH,New York Yankees,NYY,Luis Severino,Marcus Stroman,
777312,2025-06-29T17:40:00Z,San Diego Padres,SD,Cincinnati Reds,CIN,Stephen Kolek,Nick Lodolo,
777308,2025-06-29T18:10:00Z,Chicago Cubs,CHC,Houston Astros,HOU,Jameson Taillon,Framber Valdez,
777304,2025-06-29T18:10:00Z,Los Angeles Dodgers,LAD,Kansas City Royals,KC,Lou Trivino,Kris Bubic,
777311,2025-06-29T18:10:00Z,San Francisco Giants,SF,Chicago White Sox,CWS,Justin Verlander,Jonathan Cannon,
777301,2025-06-29T18:10:00Z,Colorado Rockies,COL,Milwaukee Brewers,MIL,Germán Márquez,Chad Patrick,
777302,2025-06-29T18:35:00Z,Seattle Mariners,SEA,Texas Rangers,TEX,Luis Castillo,Jack Leiter,
777305,2025-06-29T20:07:00Z,Washington Nationals,WSH,Los Angeles Angels,LAA,Mitchell Parker,Jack Kochanowicz,
777303,2025-06-29T20:10:00Z,Miami Marlins,MIA,Arizona Diamondbacks,AZ,Cal Quantrill,Eduardo Rodriguez,
777314,2025-06-29T23:10:00Z,Minnesota Twins,MIN,Detroit Tigers,DET,Chris Paddack,Tarik Skubal,
