Game ID,Player Type,Team,Name,Position,ERA,WHIP,K/9,BB/9,1st Inning ERA,OBP vs Hand,HR%,1st Inning OBP
777580,Pitcher,home,Luis L. Ortiz,P,,,,,,,,
777580,Pitcher,away,Wade Miley,P,,,,,,,,
777574,Pitcher,home,Mike Burrows,P,,,,,,,,
777574,Pitcher,away,Eury Pérez,P,,,,,,,,
777578,Pitcher,home,Zack Wheeler,P,,,,,,,,
777578,Pitcher,away,Matthew Boyd,P,,,,,,,,
777584,Pitcher,home,Brayan Bello,P,,,,,,,,
777584,Pitcher,away,Shane Baz,P,,,,,,,,
777575,Pitcher,home,Aaron Civale,P,,,,,,,,
777575,Pitcher,away,Chris Sale,P,,,,,,,,
777581,Pitcher,home,Andre Pallante,P,,,,,,,,
777581,Pitcher,away,José Berríos,P,,,,,,,,
777576,Pitcher,home,Yusei Kikuchi,P,,,,,,,,
777576,Pitcher,away,Grant Holman,P,,,,,,,,
777579,Pitcher,home,Nick Pivetta,P,,,,,,,,
777579,Pitcher,away,Dustin May,P,,,,,,,,
777577,Pitcher,home,Merrill Kelly,P,,,,,,,,
777577,Pitcher,away,Emerson Hancock,P,,,,,,,,
777580,Batter,home,Steven Kwan,LF,,,,,,,0,
777580,Batter,away,TJ Friedl,CF,,,,,,,1,
777580,Batter,home,Lane Thomas,CF,,,,,,,0,
777580,Batter,away,Gavin Lux,DH,,,,,,,0,
777580,Batter,home,José Ramírez,3B,,,,,,,0,
777580,Batter,away,Elly De La Cruz,SS,,,,,,,0,
777574,Batter,home,Oneil Cruz,CF,,,,,,,0,
777574,Batter,away,Xavier Edwards,2B,,,,,,,0,
777574,Batter,home,Andrew McCutchen,DH,,,,,,,0,
777574,Batter,away,Jesús Sánchez,RF,,,,,,,0,
777574,Batter,home,Bryan Reynolds,RF,,,,,,,0,
777574,Batter,away,Agustín Ramírez,C,,,,,,,0,
777578,Batter,home,Trea Turner,SS,,,,,,,0,
777578,Batter,away,Ian Happ,LF,,,,,,,1,
777578,Batter,home,Kyle Schwarber,DH,,,,,,,0,
777578,Batter,away,Kyle Tucker,RF,,,,,,,1,
777578,Batter,home,Alec Bohm,1B,,,,,,,0,
777578,Batter,away,Seiya Suzuki,DH,,,,,,,0,
777584,Batter,home,Jarren Duran,LF,,,,,,,0,
777584,Batter,away,Josh Lowe,RF,,,,,,,0,
777584,Batter,home,Rafael Devers,DH,,,,,,,0,
777584,Batter,away,Brandon Lowe,2B,,,,,,,0,
777584,Batter,away,Curtis Mead,PH,,,,,,,0,
777584,Batter,away,José Caballero,2B,,,,,,,0,
777575,Batter,home,Jackson Chourio,CF,,,,,,,0,
777575,Batter,away,Ronald Acuña Jr.,RF,,,,,,,1,
777575,Batter,home,William Contreras,C,,,,,,,0,
777575,Batter,away,Drake Baldwin,C,,,,,,,0,
777575,Batter,home,Christian Yelich,DH,,,,,,,0,
777575,Batter,away,Austin Riley,3B,,,,,,,0,
777581,Batter,home,Lars Nootbaar,LF,,,,,,,0,
777581,Batter,away,Bo Bichette,DH,,,,,,,0,
777581,Batter,home,Masyn Winn,SS,,,,,,,0,
777581,Batter,away,Vladimir Guerrero Jr.,1B,,,,,,,0,
777581,Batter,home,Brendan Donovan,2B,,,,,,,0,
777581,Batter,away,Addison Barger,3B,,,,,,,0,
777576,Batter,home,Zach Neto,SS,,,,,,,0,
777576,Batter,away,Lawrence Butler,RF,,,,,,,0,
777576,Batter,home,Nolan Schanuel,1B,,,,,,,0,
777576,Batter,away,Jacob Wilson,SS,,,,,,,0,
777576,Batter,home,Mike Trout,DH,,,,,,,0,
777576,Batter,away,Brent Rooker,LF,,,,,,,0,
777579,Batter,home,Fernando Tatis Jr.,RF,,,,,,,0,
777579,Batter,away,Shohei Ohtani,DH,,,,,,,0,
777579,Batter,home,Luis Arraez,1B,,,,,,,0,
777579,Batter,away,Mookie Betts,SS,,,,,,,0,
777579,Batter,home,Manny Machado,3B,,,,,,,0,
777579,Batter,away,Freddie Freeman,1B,,,,,,,0,
777577,Batter,home,Corbin Carroll,RF,,,,,,,1,
777577,Batter,away,J.P. Crawford,SS,,,,,,,0,
777577,Batter,home,Ketel Marte,2B,,,,,,,0,
777577,Batter,away,Julio Rodríguez,CF,,,,,,,0,
777577,Batter,home,Geraldo Perdomo,SS,,,,,,,0,
777577,Batter,away,Cal Raleigh,C,,,,,,,0,
